Time,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3,X4,Y4,Z4,Dist_1_2,Dist_1_3,Dist_1_4,Dist_2_3,Dist_2_4,Dist_3_4,WithinBounds_Goal1_Drone1,WithinBounds_Goal1_Drone2,WithinBounds_Goal1_Drone3,WithinBounds_Goal1_Drone4,WithinBounds_Goal2_Drone1,WithinBounds_Goal2_Drone2,WithinBounds_Goal2_Drone3,WithinBounds_Goal2_Drone4,WithinBounds_Obs1_Drone1,WithinBounds_Obs1_Drone2,WithinBounds_Obs1_Drone3,WithinBounds_Obs1_Drone4,d_min,rob
0.0,-0.6553264184089871,0.3448161656435911,0.45136129732282815,1.4988950835152473,1.5394217457860453,1.0465609064063535,0.4287646596058617,-0.7045140322835626,-1.3883081633008967,-0.5368534146765165,0.759733755598651,0.5045325600316186,2.5341695574908507,2.379229088184831,0.43476389252737674,3.4798008975937673,2.2463258975950504,2.5805592133498356,0,0,0,0,0,0,0,0,0,0,0,0,0.11190563518165474,-2.7049937442938257
0.05,-0.6553263465986614,0.3448161101278507,0.4513611842708801,1.4988941086930545,1.5394202256406089,1.0465605921287284,0.4287645953864683,-0.7045139621100233,-1.3878904235467995,-0.5368533437339598,0.7597336885119372,0.5045323797801627,2.5341679300929525,2.3789058930224347,0.43476387302969477,3.4795070860582378,2.2463244131746776,2.5802525560989165,0,0,0,0,0,0,0,0,0,0,0,0,0.11190563518165474,-2.7049937442938257
0.1,-0.6553258656288918,0.34481573829563034,0.45136042707379415,1.4988875795483845,1.5394100440407783,1.0465584871663103,0.42876416525909394,-0.7045134921030893,-1.3850924945408094,-0.5368528685763163,0.7597332391798822,0.5045311724955509,2.5341570301461545,2.3767419637282243,0.43476374243876176,3.4775398566670326,2.246314470865165,2.578199439362654,0,0,0,0,0,0,0,0,0,0,0,0,0.11190563518165474,-2.7049937442938257
0.15,-0.6553246245119121,0.34481477880230765,0.45135847316687555,1.4988707314368706,1.5393837709624487,1.0465530554224378,0.42876305533821846,-0.7045122792751255,-1.3778725871434012,-0.53685164245722,0.7597320797023467,0.5045280571616448,2.5341289034633125,2.3711641960058647,0.4347634054578211,3.472468807498179,2.2462888153568636,2.5729079799083325,0,0,0,0,0,0,0,0,0,0,0,0,0.11190563518165474,-2.7049937442938257
0.2,-0.6553223326690059,0.34481300700480505,0.451354865088198,1.4988396197644909,1.539335255174509,1.0465430251804326,0.4287610057616463,-0.7045100396706315,-1.3645403277163546,-0.5368493783093601,0.759729938614594,0.5045223043953625,2.5340769650108257,2.36088773392507,0.4347627831975341,3.4631247280398285,2.2462414403282143,2.563161573251061,0,0,0,0,0,0,0,0,0,0,0,0,0.11190563518165474,-2.7049937442938257
0.25,-0.655318756574448,0.344810242367059,0.451349235195116,1.4987910744292163,1.539259553194786,1.0465273744158234,0.42875780768921057,-0.7045065450866786,-1.3437372350393477,-0.5368458454289792,0.7597265977519901,0.5045133280226196,2.5339959229583795,2.3449143168219937,0.4347618122689343,3.4485971639119284,2.2461675192644637,2.5480186921137915,0,0,0,0,0,0,0,0,0,0,0,0,0.11190563518165474,-2.7049937442938257
0.3,-0.655313716399447,0.34480634586549014,0.45134130038077813,1.4987226542626582,1.5391528582459895,1.0465053161085673,0.4287533003014774,-0.704501619793347,-1.3144171972265521,-0.5368408661603692,0.7597218891147025,0.5045006766542712,2.5338817027217084,2.322531286197546,0.4347604438761038,3.4282320442488565,2.246063336263674,2.526813172806269,0,0,0,0,0,0,0,0,0,0,0,0,0.11190563518165474,-2.7049937442938257
0.35,-0.6553070826560856,0.3448012173944729,0.45133085679063967,1.4986326014717155,1.539012429211657,1.0464762835552748,0.42874736779845013,-0.7044951372541626,-1.275826948643227,-0.5368343125803687,0.759715691732401,0.5044840252620527,2.5337313709802185,2.293310048009281,0.4347586429078591,3.401627980291362,2.245926216797051,2.4991535561090017,0,0,0,0,0,0,0,0,0,0,0,0,0.11190563518165474,-2.7049937442938257
0.4,-0.6552987728412636,0.34479479317180517,0.45131777453897554,1.4985197960802221,1.5388365195920986,1.046439915681432,0.4287399363982734,-0.7044870168465337,-1.2274865468223122,-0.53682610318286,0.7597079285289576,0.5044631667545211,2.533543059658101,2.2571034954973634,0.4347563870279954,3.368630433009156,2.2457544584028915,2.4649207746324033,0,0,0,0,0,0,0,0,0,0,0,0,0.11190563518165474,-2.7049937442938257
0.45,-0.6552887480806385,0.3447870431441783,0.4513019924253934,1.498383710370595,1.5386243064603418,1.0463960423536234,0.4287309713359374,-0.7044772205821884,-1.1691698493810236,-0.5368161995632651,0.7596985631871455,0.5044380035529965,2.533315889863242,2.214042284443707,0.4347536657638665,3.3293233041209467,2.2455472613038263,2.424263869798504,0,0,0,0,0,0,0,0,0,0,0,0,0.11190563518165474,-2.7049937442938257
