genotype_as_str,fitness,depth,number_of_the_generation,time_since_the_start_of_the_evolution,seed
np.sqrt(np.abs(np.sqrt(np.abs((np.sin(np.sqrt(np.abs((np.tanh((np.exp(np.sqrt(np.abs(np.sin((np.tanh(x1)/np.sqrt(np.abs(x0))))))) * (np.sqrt(np.abs((2/4))) - np.log(1 + np.abs(np.sqrt(np.abs((1/np.exp(0))))))))) + np.exp(0))))) * (np.log(1 + np.abs(np.exp(np.sin(3))))/9)))))),0.04237734598769158,28,1,0.5911140441894531,0
np.tanh(np.log(1 + np.abs(np.tanh(((((((np.tanh(np.sin(np.log(1 + np.abs(np.exp(x2))))) * np.sqrt(np.abs(2))) + 9)/(np.sin(4) - np.exp(x2))) + np.sqrt(np.abs((np.exp(np.exp(np.sqrt(np.abs(((0/0) + (x1 * 1)))))) + np.log(1 + np.abs(np.log(1 + np.abs(9)))))))) * np.tanh(x1)) * np.exp(x2)))))),0.04246091643395267,28,1,0.5911140441894531,0
np.tanh(np.tanh(np.tanh(np.tanh(np.sin(np.sqrt(np.abs(np.exp(np.sqrt(np.abs(np.tanh(np.sqrt(np.abs(np.sin(np.log(1 + np.abs((4 - 2))))))))))))))))),0.04285612607621961,28,1,0.5911140441894531,0
np.tanh(np.tanh(np.tanh(np.tanh(np.sin(np.sqrt(np.abs(np.exp(np.sqrt(np.abs(np.tanh(np.sqrt(np.abs(np.sin(np.log(1 + np.abs((4 - 2))))))))))))))))),0.04285612607621961,28,1,0.5911140441894531,0
np.tanh(np.tanh(np.tanh(np.tanh(np.sin(np.sqrt(np.abs(np.exp(np.sqrt(np.abs(np.tanh(np.sqrt(np.abs(np.sin(np.log(1 + np.abs((4 - 2))))))))))))))))),0.04285612607621961,28,1,0.5911140441894531,0
np.tanh(np.log(1 + np.abs(np.sqrt(np.abs(np.sin(np.log(1 + np.abs(3)))))))),0.04285814327333509,12,1,0.5911140441894531,0
(np.exp(np.sin((np.sqrt(np.abs(np.sin((np.log(1 + np.abs(np.log(1 + np.abs((np.sin((np.sin(x4) + np.sqrt(np.abs(5)))) + np.tanh((3 * np.sin(5))))))))/(np.sin(((np.sin(np.sin(1))/7) + (x4 * (np.sin(0) * np.sqrt(np.abs(8)))))) - (np.sqrt(np.abs(np.exp(x4))) * np.exp(x1))))))) * np.tanh(np.tanh(np.exp((x1 - (x1 + 8)))))))) * np.tanh(np.sin(np.tanh(np.sqrt(np.abs(np.exp(np.sin(np.log(1 + np.abs(np.sqrt(np.abs(np.exp((np.log(1 + np.abs((8 * 1))) - (4/(6 - 7)))))))))))))))),0.04291659340420085,28,1,0.5911140441894531,0
(np.exp(np.sin((np.sqrt(np.abs(np.sin((np.log(1 + np.abs(np.log(1 + np.abs((np.sin((np.sin(x4) + np.sqrt(np.abs(5)))) + np.tanh((3 * np.sin(5))))))))/np.sqrt(np.abs(0)))))) * np.tanh(np.tanh(np.exp((x1 - (x1 + 8)))))))) * np.tanh(np.sin(np.tanh(np.sqrt(np.abs(np.exp(np.sin(np.log(1 + np.abs(np.sqrt(np.abs(np.exp((np.log(1 + np.abs((8 * 1))) - (4/(6 - 7)))))))))))))))),0.04293031326744787,28,1,0.5911140441894531,0
np.log(1 + np.abs(np.log(1 + np.abs(np.tanh((np.sin(np.tanh(((np.exp(np.exp(np.tanh(((x1 + x2)/np.sqrt(np.abs(4)))))) + x1) - ((np.exp((3 - (np.tanh(x4) - (x1 + 5))))/(np.sin(x1)/8)) + np.log(1 + np.abs((x0 + np.tanh(np.sin(np.sin(6)))))))))) * 2)))))),0.043420201476812414,28,1,0.5911140441894531,0
np.log(1 + np.abs(np.log(1 + np.abs(np.tanh((np.sin(np.tanh(((np.exp(np.exp(np.tanh(((x1 + x2)/np.sqrt(np.abs(4)))))) + x1) - ((np.exp((np.exp(x4) - (np.tanh(x4) - (x1 + 5))))/(np.sin(x1)/8)) + np.log(1 + np.abs((x0 + np.tanh(np.sin(np.sin(6)))))))))) * 2)))))),0.043420201476812414,28,1,0.5911140441894531,0
np.log(1 + np.abs(np.log(1 + np.abs(np.tanh((np.sin(np.tanh(((np.exp(np.exp(((x2 - 8) * 5))) + x1) - ((np.exp((3 - (np.tanh(x4) - (x1 + 5))))/(np.sin(x1)/8)) + np.log(1 + np.abs((x0 + np.tanh(np.sin(np.sin(6)))))))))) * 2)))))),0.043420201476812414,28,1,0.5911140441894531,0
np.tanh(np.tanh(np.tanh((np.exp(np.sqrt(np.abs(((np.exp(np.sin(np.log(1 + np.abs(np.sqrt(np.abs(x0)))))) - np.tanh(((np.exp(np.exp(6)) + (np.tanh(x3) - (x1 - 4)))/np.tanh(np.exp(np.sin(1)))))) - np.sin(np.sqrt(np.abs(3)))))))/np.log(1 + np.abs(7)))))),0.04563417986843162,28,1,0.5911140441894531,0
np.tanh(np.tanh(np.tanh((np.exp(np.sqrt(np.abs(((np.exp(np.sin(np.log(1 + np.abs(np.sqrt(np.abs(x0)))))) - np.tanh(((np.exp(np.exp(6)) + (np.tanh(x3) - (x1 - 4)))/np.tanh(np.exp(np.sin(1)))))) - np.sin(np.sqrt(np.abs(3)))))))/np.log(1 + np.abs(7)))))),0.04563417986843162,28,1,0.5911140441894531,0
np.tanh(np.tanh(np.sqrt(np.abs(np.tanh(np.sqrt(np.abs(2))))))),0.04625682687876244,12,1,0.5911140441894531,0
np.sin(np.sqrt(np.abs(np.log(1 + np.abs(np.tanh(np.log(1 + np.abs(np.log(1 + np.abs(np.exp(np.sin(np.sin(((np.sin(np.log(1 + np.abs(0)))/(5/(2 - x3))) + np.exp(np.sin(np.sin(4))))))))))))))))),0.046326242030517495,28,1,0.5911140441894531,0
np.sin(np.sqrt(np.abs(np.log(1 + np.abs(np.tanh(np.log(1 + np.abs(np.log(1 + np.abs(np.exp(np.sin(np.sin(((np.sin(np.log(1 + np.abs(0)))/(5/(2 - x3))) + np.exp(np.sin(np.sin(4))))))))))))))))),0.046326242030517495,28,1,0.5911140441894531,0
np.sin(np.sqrt(np.abs(np.log(1 + np.abs(np.tanh(np.log(1 + np.abs(np.log(1 + np.abs(np.exp(np.sin(np.sin(((np.sin(np.log(1 + np.abs(0)))/(5/(2 - x3))) + np.exp(np.sin(np.sin(4))))))))))))))))),0.046326242030517495,28,1,0.5911140441894531,0
